2. 3 flip flops

3.

States| F2 | F1 | F0 |
---------------------
 S0=0 | 0  | 0  | 0  |
 S1=5 | 0  | 0  | 1  |
 S2=10| 0  | 1  | 0  |
 S3=15| 0  | 1  | 1  |
 S4=20| 1  | 0  | 0  |
 S5=25| 1  | 0  | 1  |
 S6=30| 1  | 1  | 0  |

| K | D | Q | E | F2 | F1 | F0 || DPencil | DEraser | DPen | F2* |F1*|F0*|
---------------------------------------------------------------------------
| 0 | 0 | 0 | 0 | 0  | 0  | 0  ||  0      | 0       | 0    |  0  | 0 | 0 |
| 1 | 0	| 0 | 0 | 0  | 0  | 0  ||  0  	  | 0       | 0    |  0  | 0 | 1 |
| 0 | 1	| 0 | 0 | 0  | 0  | 0  ||  0  	  | 0       | 0    |  0  | 1 | 0 |
| 0 | 0	| 1 | 0 | 0  | 0  | 0  ||  0  	  | 0       | 0    |  1  | 0 | 1 |
| 0 | 0 | 0 | 1 | 0  | 0  | 0  ||  0  	  | 0       | 0    |  0  | 0 | 0 |
| 0 | 0 | 0 | 0 | 0  | 0  | 1  ||  0      | 0       | 0    |  0  | 0 | 1 |
| 1 | 0	| 0 | 0 | 0  | 0  | 1  ||  0  	  | 0       | 0    |  0  | 1 | 0 |
| 0 | 1 | 0 | 0 | 0  | 0  | 1  ||  0  	  | 0       | 0    |  0  | 1 | 1 |
| 0 | 0	| 1 | 0 | 0  | 0  | 1  ||  0  	  | 0       | 0    |  1  | 1 | 0 |
| 0 | 0 | 0 | 1 | 0  | 0  | 1  ||  0  	  | 0       | 0    |  0  | 0 | 0 |
| 0 | 0 | 0 | 0 | 0  | 1  | 0  ||  0      | 0       | 0    |  0  | 1 | 0 |
| 1 | 0	| 0 | 0 | 0  | 1  | 0  ||  0  	  | 0       | 0    |  0  | 1 | 1 |
| 0 | 1 | 0 | 0 | 0  | 1  | 0  ||  0  	  | 0       | 0    |  1  | 0 | 0 |
| 0 | 0	| 1 | 0 | 0  | 1  | 0  ||  0  	  | 0       | 0    |  1  | 1 | 0 |
| 0 | 0	| 0 | 1 | 0  | 1  | 0  ||  1  	  | 0       | 0    |  0  | 0 | 0 |
| 0 | 0 | 0 | 0 | 0  | 1  | 1  ||  0      | 0       | 0    |  0  | 1 | 1 |
| 1 | 0 | 0 | 0 | 0  | 1  | 1  ||  0      | 0       | 0    |  1  | 0 | 0 |
| 0 | 1 | 0 | 0 | 0  | 1  | 1  ||  0      | 0       | 0    |  1  | 0 | 1 |
| 0 | 0 | 1 | 0 | 0  | 1  | 1  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 0 | 0 | 0 | 1 | 0  | 1  | 1  ||  1      | 0       | 0    |  0  | 0 | 0 |
| 0 | 0 | 0 | 0 | 1  | 0  | 0  ||  0      | 0       | 0    |  1  | 0 | 0 |
| 1 | 0 | 0 | 0 | 1  | 0  | 0  ||  0      | 0       | 0    |  1  | 0 | 1 |
| 0 | 1 | 0 | 0 | 1  | 0  | 0  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 0 | 0 | 1 | 0 | 1  | 0  | 0  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 0 | 0 | 0 | 1 | 1  | 0  | 0  ||  0      | 1       | 0    |  0  | 0 | 0 |
| 0 | 0 | 0 | 0 | 1  | 0  | 1  ||  0      | 0       | 0    |  1  | 0 | 1 |
| 1 | 0 | 0 | 0 | 1  | 0  | 1  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 0 | 1 | 0 | 0 | 1  | 0  | 1  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 0 | 0 | 1 | 0 | 1  | 0  | 1  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 0 | 0 | 0 | 1 | 1  | 0  | 1  ||  0      | 1       | 0    |  0  | 0 | 0 |
| 0 | 0 | 0 | 0 | 1  | 1  | 0  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 1 | 0 | 0 | 0 | 1  | 1  | 0  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 0 | 1 | 0 | 0 | 1  | 1  | 0  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 0 | 0 | 1 | 0 | 1  | 1  | 0  ||  0      | 0       | 0    |  1  | 1 | 0 |
| 0 | 0 | 0 | 1 | 1  | 1  | 0  ||  0      | 0       | 1    |  0  | 0 | 0 |
| 0 | 0 | 0 | 0 | 1  | 1  | 1  ||  x      | x       | x    |  x  | x | x |
| 1 | 0 | 0 | 0 | 1  | 1  | 1  ||  x      | x       | x    |  x  | x | x |
| 0 | 1 | 0 | 0 | 1  | 1  | 1  ||  x      | x       | x    |  x  | x | x |
| 0 | 0 | 1 | 0 | 1  | 1  | 1  ||  x      | x       | x    |  x  | x | x |
| 0 | 0 | 0 | 1 | 1  | 1  | 1  ||  x      | x       | x    |  x  | x | x |
